Name,Position,Goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Tackles,Interceptions,Recoveries,Duels won,Duels lost
Marouane Fellaini ,Midfielder,1,0,590,32.78,0.0,2.0,0%,0.0,15.0,25.0,10.0,91.0,103.0,123.0
Leroy Fer ,Midfielder,0,2,441,40.09,0.0,0.0,0%,0.0,27.0,21.0,13.0,59.0,62.0,50.0
Fernandinho ,Midfielder,2,2,"1,872",56.73,5.0,11.0,27%,5.0,83.0,105.0,56.0,189.0,210.0,201.0
Fernando ,Midfielder,2,0,915,38.13,0.0,1.0,100%,0.0,48.0,60.0,43.0,112.0,122.0,106.0
Sam Field ,Midfielder,0,0,2,2.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,2.0,1.0,1.0
Mathieu Flamini ,Midfielder,0,0,627,39.19,0.0,5.0,20%,2.0,17.0,31.0,35.0,66.0,48.0,40.0
Francisco Júnior ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Gardner ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emanuele Giaccherini ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darron Gibson ,Midfielder,0,1,181,25.86,1.0,0.0,0%,0.0,23.0,4.0,4.0,18.0,14.0,11.0
Carles Gil ,Midfielder,2,0,730,31.74,1.0,77.0,23%,0.0,22.0,22.0,10.0,76.0,79.0,89.0
George Glendon ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lynden Gooch ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Gosling ,Midfielder,3,1,"1,194",35.12,2.0,6.0,17%,3.0,40.0,73.0,52.0,156.0,184.0,203.0
Sean Goss ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoan Gouffran ,Midfielder,0,0,92,11.5,0.0,4.0,25%,0.0,7.0,6.0,6.0,20.0,12.0,22.0
Conor Grant ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Gray ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Grealish ,Midfielder,1,0,316,19.75,1.0,20.0,10%,0.0,11.0,6.0,14.0,55.0,48.0,54.0
Andre Green ,Midfielder,0,0,23,11.5,0.0,8.0,38%,0.0,1.0,2.0,3.0,6.0,4.0,7.0
Rees Greenwood ,Midfielder,0,0,23,23.0,0.0,2.0,0%,0.0,1.0,1.0,2.0,2.0,2.0,3.0
Matt Grimes ,Midfielder,0,0,44,44.0,0.0,1.0,0%,0.0,5.0,1.0,0.0,3.0,3.0,8.0
Marko Grujic ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adlène Guédioura ,Midfielder,0,2,251,13.94,1.0,43.0,21%,1.0,13.0,13.0,16.0,51.0,43.0,52.0
Idrissa Gueye ,Midfielder,0,1,"1,869",53.4,0.0,15.0,20%,3.0,94.0,144.0,141.0,344.0,295.0,199.0
Dean Hammond ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Henderson ,Midfielder,2,3,939,55.24,1.0,47.0,26%,3.0,79.0,41.0,22.0,113.0,74.0,55.0
Ander Herrera ,Midfielder,3,2,"1,097",40.63,4.0,34.0,18%,7.0,46.0,56.0,24.0,118.0,103.0,110.0
Jake Hesketh ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Honeyman ,Midfielder,0,0,5,5.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,1.0,2.0,0.0
Wes Hoolahan ,Midfielder,4,8,"1,113",37.1,7.0,54.0,26%,6.0,36.0,27.0,15.0,169.0,105.0,169.0
Jonny Howson ,Midfielder,3,4,"1,284",35.67,4.0,30.0,33%,1.0,63.0,76.0,42.0,188.0,154.0,200.0
Jordon Ibe ,Midfielder,1,2,481,17.81,1.0,59.0,20%,3.0,10.0,10.0,1.0,75.0,86.0,95.0
Giannelli Imbula ,Midfielder,2,0,772,55.14,0.0,5.0,0%,4.0,19.0,14.0,7.0,109.0,107.0,79.0
Gökhan Inler ,Midfielder,0,0,124,24.8,0.0,1.0,0%,0.0,11.0,10.0,10.0,27.0,20.0,19.0
